"event_id","name","start_time","end_time","timezone","location","description","event_type","link","latitude","longitude","liked_count","viewed_count","trending_score"
21,Graduate Career Fellow Open Hours for PhD Students (Hybrid),"2025-05-08 16:00:00","2025-05-08 17:00:00",EDT,Virtual or 167 Angell Street,"Come to our Graduate Career Fellow Open Hours for quick questions, utilizing career center resources, and editing/drafting resumes and cover letters.
No appointment needed. Just walk in.
For in-person open hours: 167 Angell Street • 1st Floor Conference Room
For Virtual Hours: Connect Here",,https://events.brown.edu/event/310627-graduate-career-fellow-open-hours-for-phd-students,,,0,0,0.0
22,Workshop: Personal Branding and Career Pivots for PhDs,"2025-05-08 16:30:00",,EDT,Will be shared to RSVPs,"Join SACNAS at Brown, Nabrit BGSA and Dr. Gertrude Nonterah in a conversation about navigating career pivots, unemployment and difficult job markets as a recent PhD grad (or soon to be grad!!). Dr. Gertrude Nonterah is an experienced medical writer who went from unemployment to a successful communications career. She is the founder of TheBoldPhD.com
This event is open to all Brown grads, postdocs, RA, faculty and staff.",,https://events.brown.edu/event/310746-workshop-personal-branding-and-career-pivots-for,,,0,0,0.0
23,"LCC: Cancer Therapeutics Seminar - Drs. Carneiro, Lawler, Sobol.","2025-05-08 17:00:00","2025-05-08 18:00:00",EDT,"70 Ship Street","Please join the LCC Cancer Therapeutics program for a seminar with Dr. Benedito A. Carneiro, Dr. Sean Lawler and Dr. Robert W. Sobol.
The three speakers will focus on: “Emerging role of PRMT5 (protein arginine methyltransferase 5) inhibitors: ongoing preclinical and clinical projects at Legorreta Cancer Center”.

Thursday, 8 of May, 2025 at 5:00 pm
Location: 70 Ship Street, room 107.",Hybrid,https://events.brown.edu/event/310970-lcc-cancer-therapeutics-seminar-drs-carneiro,41.8188,-71.4102,0,0,0.0
24,Igniting Your Faith (Bible Study),"2025-05-08 18:00:00",,EDT,Manning Chapel,"Igniting Your Faith • J O S E P H
Weekly Bible Study Series
6PM • Thursday
Manning Chapel
  J O S E P H • Genesis 37-50
Join us at 6PM every Thursday while we explore the life of Joseph as God prepared him for a bigger future than he could ever imagine.
Each week we will enter through Joseph’s lens on what God was doing in his life using the Bible as our guide to understand the time, context, and how we are to experience the same journey that Joseph did today.
We will participate in breakout groups and then we will come back together for a community discussion with opportunities for trivia and winning some cool encouraging swag.
Invite someone each week to experience how they could ignite their faith every day for the rest of their lives.
Bible Study Teacher: Sophia Stone",,https://events.brown.edu/event/304559-igniting-your-faith-bible-study,41.8275,-71.4028,0,0,0.0
25,Shape Note Singing - Come Sing!,"2025-05-08 18:00:00",,EDT,Steinert Center,"Anyone can do it, and we’ll show you how! With no tryouts, commitment, experience, or vocal talent needed, you can get together with friends and make music that the NYTimes has described as “powerful, elemental” on a weekly basis. Shape Note is a centuries-old tradition of American community music that can improve anyone’s singing. You need to hear this for yourself. Come try it: Thursday 01/30, 6-8 PM, Steinert Hall (148 Power Street), room 105. We hold singings every Thursday. All are welcome! (Organized by the Graduate Student Shape Note group)",,https://events.brown.edu/event/305413-shape-note-singing-come-sing,41.8234,-71.3968,0,0,0.0
26,Gallery Tour at The Bell,"2025-05-08 18:00:00",,EDT,List Art Building,"The Bell is excited to announce student-led tours that delve deeply into our current exhibition, Julien Creuzet: Attila cataract your source at the feet of the green peaks will end up in the great sea blue abyss we drowned in the tidal tears of the moon. The tours provide visitors with an opportunity to explore this immersive installation through open-ended discussion and close looking exercises that engage deeper with particular facets of the exhibition. Whether you are visiting us for the first time, or a repeat visitor to our space, these tours offer a new way to engage with The Bell and the artworks on view.
Tours will run approximately 45 minutes, with options for daytimes, evenings, and weekends between mid-April to late May. Follow this link for additional date and time options.
All tours are free and open to everyone. RSVPs are requested but not required; drop-in attendees will be welcome!
Tours will begin in the lobby outside of the gallery.",,https://events.brown.edu/event/310155-gallery-tour-at-the-bell,41.8265,-71.4054,0,0,0.0
27,Sonic Practice // Spring 2025 Final Presentations,"2025-05-08 19:00:00",,EDT,Granoff Center for the Creative Arts,"On Thursday, May 8th in the Fishman Studio at the Granoff Center, the Brown University Department of Music presents a performance by the members of Professor Ed Osborn’s Seminar in Sonic Practice. It features work performed by Beaux Hu, James May, Ed Osborn, Jessica Shand, and Alice Zhao. Admission is free and open to the public.
About the Seminar in Sonic Practice
This studio and seminar course provides an exploration of contemporary sonic practice, facilitates the development of sound-based creative work, and encourages a critical approach to producing work in the field. Through discussion, reading, listening exercises, independent research, creative production and critiques, we will examine a number of intersecting areas of sonic practice including sound as a cultural, environmental, and artistic medium, phonography, sound installation, mobile audio, noise as strategy and material, linguistic and other sonic narrative structures. Students will develop sound-based pieces individually and in groups which function as creative research into the subjects areas of the course.",,https://events.brown.edu/event/310920-sonic-practice-spring-2025-final-presentations,41.8282,-71.4014,0,0,0.0
28,SPRING - a bold reimagining of timeless Greek classics,"2025-05-08 19:30:00",,EDT,Pell Chafee Performance Center,"Brown/Trinity Rep proudly presents SPRING, a bold reimagining of timeless Greek classics.
May 8 – May 16
Directed by Brian Mertes, this dynamic production features performances by MFA students Lucia Aremu, Kayla Bennett, Abram Blau, Evie Dumont, Erin Lockett, Jessie March, Mathieu Myrick, Henry Nwaru, Daniel Shtivelberg, and Sara States.
Discover the next generation of theater artists as they lead you on a journey across three distinct worlds. Blending song, dance, and drama, SPRING explores what it takes to make the journey home.
Thursday, May 8 at 7:30 pm
Friday, May 9 at 7:30 pm
Saturday, May 10 at 2:00 pm
Saturday, May 10 at 7:30 pm
Sunday, May 11 at 2:00 pm
Wednesday, May 14 at 7:30 pm
Thursday, May 15 at 7:30 pm
Friday, May 16 at 7:30 pm
This is a General Admission Event, seats are first come, first serve. All performances at the Pell Chafee Performance Center, Citizens Bank Theater, 87 Empire St, in downtown Providence, around the corner from Trinity Rep.
Students $7.00
Seniors $10.00
General Admission $15.00",,https://events.brown.edu/event/310639-spring-a-bold-reimagining-of-timeless-greek-classics,41.8214,-71.4158,0,0,0.0
29,Baha’i Fireside Discussion: Open Discussion - All Aspects of the Baha’i Faith,"2025-05-08 19:30:00","2025-05-08 21:00:00",EDT,"Page-Robinson Hall, room 409","Baha’i Fireside Discussion, Thursday, May 8, 7:30 PM - 9 PM
You are invited to contribute to an uplifting conversation that aims to help bring about unity and justice in a very divided world. This week’s topic will be “Open Discussion - All Aspects of the Baha’i Faith”.
Come bring your questions and/or concerns. No topic off limits.
This event is facilitated by Paul Smith (paul_smith@brown.edu), a volunteer Religious Life Affiliate for the Baha’i Faith at Brown. He is available for individual consultation or e-mail discussion with any interested student or group of students. While primarily focused on students at all levels, the Baha’i Faith at Brown welcomes staff and faculty as well.
Members of the Baha’i Faith (https://bahai.org) encourage and welcome people of all spiritual backgrounds (including none at all). Baha’is believe that all the world’s religions come from the same Source, and that all people can be welcomed into the activities of a worldwide grassroots community-building effort. Baha’i teachings include the equality of women and men, the harmony of science and religion, the elimination of prejudice of all kinds, racial and social justice, and the oneness of all humankind. Since 1844, the independent worldwide Baha’i community has been building a new global civilization from the ground up following these teachings, person by person, neighborhood by neighborhood.
If you would like to learn more, or to be put on an e-mail list for the Baha’i Faith at Brown, contact bahai-faith@brown.edu.",,https://events.brown.edu/event/305357-bahai-fireside-discussion-open-discussion-a,41.8275,-71.4028,0,0,0.0
30,"CANCELED: Office Hours: Noël Grisanti, Chaplaincy Intern","2025-05-09 09:00:00","2025-05-09 11:00:00",EDT,Page-Robinson Hall (previously JWW),"Office Hours with Chaplaincy Intern Noël Grisanti are held on Fridays from 9 – 11am. Meetings can take place over coffee, a walk, Zoom, or in person at Page-Robinson Hall. Please use the link to schedule a time to meet.",,https://events.brown.edu/event/304979-office-hours-noel-grisanti-chaplaincy-inter,41.8275,-71.4028,0,0,0.0
31,Defusing Militarized Rivalry Between the U.S. and China - Day 2,"2025-05-09 09:00:00","2025-05-09 14:30:00",EDT,"Watson Institute for International and Public Affairs, 111 Thayer Street","The China Initiative at the Watson Institute hosts a two-day conference on Defusing Militarized Rivalry Between the U.S. and China, May 8-9.
Register here to attend.
See the full program here.
Statement of Purpose: During the last decade, U.S.-China relations have lurched dangerously into intensive militarized rivalry. This rivalry has the gravest possible implications for world peace, since the threat of war now looms over disputes in the South China Sea and also the ever-volatile Taiwan issue. As in the last Cold War, there is additionally the possibility that geopolitical rivalry will intensify disputes from Eastern Europe to the Arctic to the Middle East to Africa and throughout the Asia-Pacific. Moreover, this rivalry is already diverting resources and attention from other key issues, including global health and development, economic cooperation, and the climate crisis. This conference is intended as the first in a series and has five major goals: 1) to build a community of scholars dedicated to defusing U.S.-China rivalry; 2) to debate and refine arguments that favor mitigating geopolitical tensions between the superpowers; 3) to publish and disseminate the highest quality scholarship assessing the process of growing US-China militarized rivalry; 4) to develop concrete policy recommendations for curtailing military tensions among the two Asia-Pacific powers; and 5) to cultivate a new generation of experts that are capable of guiding US-China relations onto a more peaceful and collaborative path.",,https://events.brown.edu/event/310722-defusing-militarized-rivalry-between-the-us-and,41.8243,-71.3999,0,0,0.0
32,Blake Hansen Dissertation Defense,"2025-05-09 10:00:00",,EDT,"121 South Main Street",The Department of Biostatistics is pleased to announce the dissertation defense of doctoral candidate Blake Hansen.,,https://events.brown.edu/event/310534-blake-hansen-dissertation-defense,41.824,-71.407,0,0,0.0
33,CCV Office Hours,"2025-05-09 10:00:00","2025-05-09 12:00:00",EDT,"180 George Street","This is a drop-in session where CCV staff members will be available to answer questions about Brown’s research computing resources (Oscar, Stronghold, Globus) and help with any high-performance computing (HPC) issues you might have.",Hybrid,https://events.brown.edu/event/303543-ccv-office-hours,41.8259,-71.3988,0,0,0.0
34,"Office Hours: Rabbi Josh Bolton, Interim Associate Chaplain of the University for the Jewish Community","2025-05-09 10:00:00","2025-05-09 12:00:00",EDT,Weiner Center (Hillel),"Office Hours with Rabbi Josh Bolton are held on Friday mornings at Brown RISD Hillel. Feel free to stop by, or contact Rabbi Josh to make an appointment outside of Office Hours.",,https://events.brown.edu/event/304910-office-hours-rabbi-josh-bolton-interim-asso,41.828,-71.4034,0,0,0.0
35,Therapeutic Sciences Graduate Program Annual Retreat,"2025-05-09 10:00:00","2025-05-09 16:30:00",EDT,South Street Landing,"Please join TSGP for our annual Spring Retreat on Friday, May 9th, from 10:00 AM - 4:30 PM in SSL, rooms 497/498/499 at 350 Eddy Street. This all-day event will feature First Year Talks, a Keynote Speaker, two faculty talks, and a TSGP Student Poster Session. Full schedule is live.",,https://events.brown.edu/event/310689-therapeutic-sciences-graduate-program-annual,41.8183,-71.4061,0,0,0.0
